Data,Anúncios comerciais (minutos),Tempo de anúncios (em seg.) por hora,Média de espectadores,Mensagens do chat,Participantes do chat,Visualiz. de clipes,Clipes criados,Seguidores,Espectadores de hospedagem e raids (%),Visualiz. ao vivo,Máximo de espectadores,Minutos assistidos,Minutos transmitidos,Espectadores únicos,Sub-receita,Renda com o Prime,Receita de inscrições de presente,Receita de inscrições de presente de múltiplos meses,Receita de Bits,Receita de anúncios,Receita das vendas de jogos,Receita de extensões,Receita de patrocínios,Receita de outras interações com Bits,Inscrições Prime,Total de inscrições pagas,Inscritos Grupo 1,Inscritos Grupo 2,Inscritos Grupo 3,Total de inscrições de presente,Inscrições Grupo 1 de presente,Total de inscrições de presente de múltiplos meses,Inscrições de presente de múltiplos meses do Grupo 1,Inscrições de presente de múltiplos meses do Grupo 2,Inscrições de presente de múltiplos meses do Grupo 3
Thu Jul 30 2020,0,0,97.79,789,107,9,8,107,58.27,2346,1522,25327,259,1981,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 31 2020,0,0,71.01,502,30,25,2,8,62.4,687,416,15055,212,588,0,1.75,0,0,0,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Aug 01 2020,0,0,72.32,202,20,43,4,4,63.25,294,114,8462,117,229,1.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sun Aug 02 2020,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 03 2020,0,0,14.44,548,37,4,3,6,4.23,262,31,2527,175,171,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 04 2020,0,0,16.37,1115,86,25,5,95,1.62,951,205,6041,369,724,1.18,0,0,0,0,0.14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Wed Aug 05 2020,0,0,13.73,457,49,14,3,61,1.02,533,83,3831,279,388,1.12,3.5,0,0,0,0.04,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
Thu Aug 06 2020,0,0,7.26,474,28,5,2,6,1.22,168,15,2221,306,116,1.18,0,0,0,0,0.04,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fri Aug 07 2020,1,14.29,13.19,635,35,7,5,9,34.17,338,102,3351,252,228,0,1.75,0,0,0,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Aug 08 2020,0,0,8.32,225,19,1,0,3,25.7,92,13,1498,180,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 09 2020,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 10 2020,0,0,9.1,455,25,1,0,3,1,133,15,1602,176,79,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 11 2020,0,0,16.36,338,36,0,1,5,42.96,326,139,4760,291,243,0,3.5,0,0,1,0.02,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Wed Aug 12 2020,0,0,7.79,939,36,0,2,16,24.94,217,72,2430,312,147,0,3.5,0,0,0,0.02,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Thu Aug 13 2020,0,0,12.71,1001,35,3,6,17,28.5,303,78,3470,273,201,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 14 2020,0,0,22.56,358,15,30,0,4,41.52,97,32,2324,103,71,1.45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sat Aug 15 2020,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 16 2020,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mon Aug 17 2020,0,0,9.4,566,25,0,0,4,13.78,125,22,1655,176,87,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 18 2020,0,0,64.63,583,44,0,4,14,47.26,1431,799,13120,203,1197,1.51,3.5,3.27,0,0.04,0.07,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0
Wed Aug 19 2020,1.5,25.59,19.91,373,27,4,0,2,33.25,249,91,4202,211,163,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 20 2020,0,0,7.84,363,29,3,1,8,5.22,229,22,2243,286,136,0,3.5,0,0,0.06,0.02,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Fri Aug 21 2020,0,0,8.28,420,25,5,5,3,3.73,182,15,2037,245,79,0,1.75,0,0,0.01,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Aug 22 2020,3,131.71,8.82,245,13,16,8,2,0,49,18,723,82,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 23 2020,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 24 2020,0,0,10.03,243,30,1,1,13,20.69,154,56,1735,173,108,1,0,0,0,0,0.01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tue Aug 25 2020,0,0,10.03,634,27,14,16,3,10.68,182,21,2687,267,122,1,0,0,0,0,0.01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Wed Aug 26 2020,0,0,7.64,423,18,73,4,1,0.11,100,14,1819,238,70,0,1.75,0,0,1,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thu Aug 27 2020,0,0,7.94,342,19,19,5,9,11.82,139,37,2048,258,96,1.12,0,0,0,0,0.01,0,0.16,0,0,0,1,1,0,0,0,0,0,0,0,0
Fri Aug 28 2020,0,0,7.15,435,26,9,3,2,6.93,108,13,1702,237,79,0,1.75,0,0,0,0.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Aug 29 2020,3,82.44,788.69,1915,420,220,16,522,30.9,8963,6674,103319,131,7658,0,0,10.12,0,0,0.01,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
Sun Aug 30 2020,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 31 2020,0,0,6.38,338,27,11,1,8,0,220,17,1047,164,184,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 01 2020,0,0,12.74,544,34,5,5,16,17.58,404,71,2981,234,335,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 02 2020,0,0,9.56,724,26,47,0,10,6.96,268,17,2313,242,220,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 03 2020,0,0,10.72,792,43,2,8,13,3.34,332,60,2604,244,240,0,0,0,0,0,0.05,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 04 2020,0,0,18.84,587,22,13,0,5,19.52,144,38,1639,87,108,0,1.75,0,0,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sat Sep 05 2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 06 2020,0,0,0,10,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 07 2020,0,0,11.01,832,29,1,6,1,0,138,16,2058,187,96,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 08 2020,0,0,9.82,702,28,33,6,1,1.3,183,16,2299,234,116,0,3.5,0,0,0,0.02,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Wed Sep 09 2020,0,0,26.63,1022,46,12,4,68,35.38,628,275,6178,232,508,0,1.75,0,0,0.08,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thu Sep 10 2020,0,0,68.23,209,14,9,0,10,51.37,184,80,4162,61,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 11 2020,0,0,8.46,430,21,2,2,4,4.81,123,18,1413,167,77,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 12 2020,0,0,8.21,265,14,5,6,1,14.31,66,17,1272,154,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 13 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 14 2020,0,0,11.6,658,34,0,4,45,7.29,362,60,1949,168,240,1.47,0,0,0,0,0.03,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tue Sep 15 2020,2,20.81,56.05,1538,141,32,7,183,30.53,1712,868,19395,346,1288,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 16 2020,0,0,9.88,569,26,14,6,10,11.7,274,26,2351,238,181,0,1.75,0,0,1,0.05,0,0.08,0,0,1,0,0,0,0,0,0,0,0,0,0
Thu Sep 17 2020,0,0,10.91,925,54,22,1,75,5.89,628,44,3449,316,443,0,5.24,0,0,0,0.02,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Fri Sep 18 2020,0,0,11.82,690,40,4,1,22,3.29,414,29,3344,283,281,1.51,1.75,0,0,0.15,0.01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sat Sep 19 2020,0,0,9.67,295,16,0,8,1,9.38,78,18,1247,129,57,0,0,0,0,1.4,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 20 2020,0,0,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 21 2020,0,0,9.91,779,34,1,3,19,0.63,614,28,4101,413,340,1.12,0,0,0,0,0.05,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tue Sep 22 2020,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 23 2020,0,0,8.11,255,22,0,3,4,8.25,119,18,1297,160,85,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 24 2020,0,0,11.19,829,29,16,7,12,0.99,159,17,1914,171,109,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 25 2020,0,0,10.17,947,33,19,2,15,7.9,263,31,3315,326,173,2.15,3.5,0,0,0.32,0.02,0,1.36,0,0,2,2,2,0,0,0,0,0,0,0,0
Sat Sep 26 2020,0,0,12.09,196,15,18,1,5,8.7,55,16,943,77,41,0,1.75,0,0,1,0.01,0,0.24,0,0,1,0,0,0,0,0,0,0,0,0,0
Sun Sep 27 2020,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mon Sep 28 2020,0,0,8.99,560,21,1,1,3,0.22,139,14,1384,154,102,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 29 2020,2,38.92,11.24,331,32,4,3,12,0.96,211,23,2080,185,133,0,1.75,0,0,0,0.04,0,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0
Wed Sep 30 2020,0,0,12.13,94,12,3,0,2,5.5,24,16,291,24,21,0,0,7,0,0,0.01,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
Thu Oct 01 2020,4,91.72,83.04,609,79,5,0,36,49.08,1395,952,13037,157,1218,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 02 2020,0,0,18.33,933,39,92,5,6,33.79,218,59,3977,218,152,1.37,1.75,0,0,0,0.02,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Sat Oct 03 2020,0,0,10.6,849,22,203,3,4,11.9,234,24,2386,225,171,0,0,0,0,0.2,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 04 2020,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 05 2020,15,367.35,11.18,512,24,93,2,2,0.25,124,19,1632,147,86,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
